R,R2,R3,R4,Ng,Ng2,Ng3,Ng4,mass,Ixx,Iyy,Izz,Ixz
80.86650191,6539.391131,528817.6854,42763636.37,8.75,76.5625,669.921875,5861.816406,506.34,47.78,311.37,279.6,22.94
84.88850368,7206.058057,611711.4859,51927272.72,8.75,76.5625,669.921875,5861.816406,511.96,47.97,352.08,320.12,25.71
88.40852542,7816.067367,691006.9905,61090909.08,8.75,76.5625,669.921875,5861.816406,516.886,48.13,390.92,358.8,28.23
91.55216252,8381.798462,767371.775,70254545.46,8.75,76.5625,669.921875,5861.816406,521.281,48.28,428.25,395.98,30.57
94.40173692,8911.687934,841278.8198,79418181.82,8.75,76.5625,669.921875,5861.816406,525.264,48.42,464.32,431.92,32.76
79.68565207,6349.803146,505988.2042,40319999.99,8.75,76.5625,669.921875,5861.816406,504.691,47.72,300.14,268.43,22.16
83.64892273,6997.142274,585303.4134,48960000,8.75,76.5625,669.921875,5861.816406,510.232,47.91,339.12,307.22,24.84
87.11754349,7589.466384,661175.6678,57599999.99,8.75,76.5625,669.921875,5861.816406,515.081,48.07,376.32,344.25,27.3
90.21527576,8138.79598,734243.7237,66240000.01,8.75,76.5625,669.921875,5861.816406,519.412,48.22,412.06,379.86,29.57
93.02323936,8653.323061,804960.1424,74880000,8.75,76.5625,669.921875,5861.816406,523.337,48.35,446.6,414.27,31.7
78.71958685,6196.773354,487807.4382,38400000,8.75,76.5625,669.921875,5861.816406,503.341,47.68,291.19,259.52,21.52
82.63480898,6828.511655,564272.7562,46628571.42,8.75,76.5625,669.921875,5861.816406,508.814,47.86,328.79,296.94,24.14
86.06137809,7406.560799,637418.8292,54857142.87,8.75,76.5625,669.921875,5861.816406,513.605,48.02,364.68,332.67,26.54
89.12155514,7942.651591,707861.4617,63085714.29,8.75,76.5625,669.921875,5861.816406,517.883,48.17,399.16,367.01,28.76
91.89547653,8444.778607,776036.9543,71314285.72,8.75,76.5625,669.921875,5861.816406,521.76,48.3,432.48,400.2,30.83
77.91375316,6070.552931,472979.5626,36851612.89,8.75,76.5625,669.921875,5861.816406,502.214,47.64,283.88,252.25,21
81.7888961,6689.423525,547120.5657,44748387.1,8.75,76.5625,669.921875,5861.816406,507.632,47.82,320.37,288.56,23.57
85.18038823,7255.698539,618043.2184,52645161.29,8.75,76.5625,669.921875,5861.816406,512.373,47.98,355.18,323.21,25.91
88.20923898,7780.869841,686344.6073,60541935.49,8.75,76.5625,669.921875,5861.816406,516.607,48.12,388.64,356.52,28.09
90.9547644,8272.769167,752447.7705,68438709.69,8.75,76.5625,669.921875,5861.816406,520.446,48.25,420.96,388.72,30.12
77.23083232,5964.601461,460651.1353,35576470.59,8.75,76.5625,669.921875,5861.816406,501.259,47.61,277.81,246.21,20.56
81.07200929,6572.67069,532859.6193,43200000,8.75,76.5625,669.921875,5861.816406,506.629,47.79,313.36,281.58,23.08
84.4337747,7129.06231,601933.6409,50823529.42,8.75,76.5625,669.921875,5861.816406,511.329,47.95,347.28,315.34,25.39
87.4360773,7645.067614,668454.7228,58447058.82,8.75,76.5625,669.921875,5861.816406,515.526,48.09,379.88,347.8,27.53
90.15753795,8128.381649,732834.877,66070588.24,8.75,76.5625,669.921875,5861.816406,519.33,48.22,411.38,379.17,29.53
90,8100,729000,65610000,8,64,512,4096,484.1,43.86,406.01,373.19,30.58
90,8100,729000,65610000,8.25,68.0625,561.515625,4632.503906,495.42,45.22,407.1,374.44,30.22
90,8100,729000,65610000,8.5,72.25,614.125,5220.0625,507.09,46.66,408.27,375.8,29.82
90,8100,729000,65610000,8.75,76.5625,669.921875,5861.816406,519.11,48.21,409.5,377.3,29.41
90,8100,729000,65610000,9,81,729,6561,531.48,49.86,410.81,378.94,28.97
90,8100,729000,65610000,9.25,85.5625,791.453125,7320.941406,544.19,51.61,412.19,380.73,28.5
90,8100,729000,65610000,9.5,90.25,857.375,8145.0625,557.26,53.48,413.66,382.68,28
90,8100,729000,65610000,9.75,95.0625,926.859375,9036.878906,570.67,55.47,415.21,384.79,27.48
90,8100,729000,65610000,10,100,1000,10000,584.43,57.58,416.85,387.07,26.92
